"competitionId","competition","league_multiple"
1087,"Russia. U21 Premier League",0.895634282172502
1189,"Denmark. U17 Ligaen",0.833867092149955
5,"Netherlands. Eerste Divisie",0.912831304486171
267,"Russia. PFL",0.970055550492578
100,"Portugal. Segunda Liga",1.02059769788382
63,"Portugal. Primeira Liga",0.996901758566085
1083,"Ukraine. U21 League",0.990149893713919
50,"Austria. 2. Liga",1.00417442526979
39,"Denmark. 1st Division",0.923727399438457
99,"Switzerland. Challenge League",0.957395350573419
27,"Switzerland. Super League",0.976329537763313
233,"Ukraine. Persha Liga",1.02865615470471
559,"Ukraine. Druha Liga",0.989267233374766
40,"Denmark. 2nd Division",0.927687818929519
-267,"Denmark. U19 Division",0.534299367348329
1,"Netherlands. Eredivisie",0.955993841371435
-268,"Denmark. U17 Division",0.57028825718853
1072,"Denmark. U19 Ligaen",0.817124720966088
122,"Russia. FNL",0.984516937403583
125,"Ukraine. Premier League",0.973167135214557
30,"Denmark. Superliga",0.969271693639676
107,"Greece. Super League",1.04351254376981
952,"Italy. Campionato Primavera 1",0.544855906873719
19,"Turkey. Süper Lig",0.982883816030692
26,"Brazil. Serie A",1.0387710677881
33,"USA. MLS",0.914286554858527
7,"Spain. Primera División",0.959363602581682
24,"Belgium. First Division A",0.966547989446695
51,"China PR. CSL",0.339110450936498
8,"England. Premier League",0.831654549210178
16,"France. Ligue 1",0.97545850094809
97,"Turkey. 1. Lig",0.97243048712282
344,"United Arab Emirates. Arabian Gulf League",0.823927059954183
13,"Italy. Serie A",1.0823744952523
119,"Poland. Ekstraklasa",0.961910377073039
52,"Belgium. First Division B",0.977321122351147
117,"Israel. Ligat ha'Al",0.770594749348288
9,"Germany. Bundesliga",1.07638081617609
70,"England. Championship",0.897408913828053
283,"Australia. A-League",0.744762158440832
11,"Germany. 2. Bundesliga",0.943819117945842
49,"Austria. Bundesliga",0.951428417381463
12,"Spain. Segunda División",1.10148542242138
61,"Croatia. 1. HNL",0.932936982138894
622,"Germany. 3. Liga",0.933123812373823
86,"Slovenia. 1. SNL",0.857207604524297
109,"Japan. J1 League",0.746345242720464
15,"England. League One",1.16152470581135
28,"Sweden. Allsvenskan",0.795245926576255
166,"Georgia. Erovnuli Liga",0.754453512656427
29,"Norway. Eliteserien",0.776637248723852
36,"Norway. Obos Ligaen",0.705828855243897
59,"Bulgaria. First League",0.899060807250434
106,"Azerbaijan. Premyer Liqa",0.944832423443081
14,"Italy. Serie B",0.962190238324135
239,"Brazil. Paulista A1",1.05604816198099
89,"Brazil. Serie B",0.986480369400046
48,"Albania. Superliga",0.859108734922762
67,"Hungary. NB I",0.792606766357124
17,"France. Ligue 2",0.977432652144625
43,"Scotland. Premiership",0.822812918975797
85,"Romania. Liga I",1.05037647802745
75,"Cyprus. 1. Division",0.849554999572874
37,"Sweden. Superettan",0.139744853184814
165,"Ecuador. Primera A",0.939660993590459
1417,"India. Indian Super League",0.811577075279892
123,"Slovakia. Super Liga",0.66778820802742
82,"Czech Republic. Czech Liga",0.860661828944038
440,"Serbia. Super Liga",0.961490388147695
216,"Saudi Arabia. Pro League",0.931680478597873
66,"Belarus. Premier League",0.896133171641256
79,"Kazakhstan. Premier League",0.896040533524099
215,"Qatar. QNB Stars League",0.666374981124196
80,"Moldova. Divizia Națională",0.973895985063748
1133,"USA. USL Championship",0.795474560605602
57,"France. National 1",0.85400477526328
32,"England. League Two",1.00570098451476
155,"Mexico. Liga MX",0.756752167327393
118,"Lithuania. A Lyga",0.93640013667244
98,"Spain. Segunda B",0.847100624862504
87,"Argentina. Superliga",1.04243396426617
108,"Greece. Football League",1.03981783031559
22,"Finland. Veikkausliiga",0.698918355072582
102,"Portugal. Taça de Portugal",1.14007745926804
53,"Italy. Serie C",1.03208565999301
64,"Bosnia and Herzegovina. Premijer Liga",1.1008044899128
162,"Uruguay. Primera División",0.926981776484055
116,"Latvia. Virsliga",0.923938120028461
1484,"Netherlands. Tweede Divisie",1.00596907151422
111,"Estonia. Meistriliiga",0.402751982635502
91,"Colombia. Primera A",0.972977853126297
55,"Germany. Regionalliga",0.845659257168019
445,"Montenegro. First League",0.896387209794514
945,"Germany. U19 Bundesliga",0.732116800173403
1403,"Turkey. U21 Süper Lig",1.02842920080419
1120,"Denmark. Reserve League",0.4728877384889
121,"Russia. Premier League",1
