"position_cluster","player_rating_adjusted_per_96","player_id","name","current_team_name","owner_team_name","position"
"Central Defender",0.755396201570488,"-52426","A. Plotnikov","Zenit St. Petersburg II","Zenit St. Petersburg II","LCB"
"Central Defender",0.626842848032568,"302039","D. Chistyakov","Tambov","Tambov","RCB"
"Central Defender",0.625980156666667,"235816","M. Shorkin","Torpedo Moskva","Torpedo Moskva","LCB"
"Central Defender",0.616167837357798,"195495","S. Reese","Horsens","Midtjylland","LCB"
"Central Defender",0.591387842008142,"200340","M. Goropevšek","Volyn","Volyn","CB"
"Central Forward",2.18311265475568,"279065","P. Onuachu","Midtjylland","Midtjylland","CF"
"Central Forward",2.06878136584039,"65056","L. de Jong","PSV","PSV","CF"
"Central Forward",2.01293801300346,"251159","S. Kulish","Dnipro-1","Dnipro-1","CF"
"Central Forward",1.98875743937008,"303962","A. Razborov","Irtysh","Irtysh","CF"
"Central Forward",1.93842584269549,"13532","I. de Camargo","Mechelen","Mechelen","CF"
"Central Midfielder",1.25565968,"151961","Alejandro Pozuelo","Genk","Genk","AMF"
"Central Midfielder",1.24837438956274,"484436","K. Aliev","Khimki","Khimki","AMF"
"Central Midfielder",1.20999823673488,"39549","Taison","Shakhtar Donetsk","Shakhtar Donetsk","AMF"
"Central Midfielder",1.20535468172909,"428358","I. Kogut","Dnipro-1","Dnipro-1","RCMF"
"Central Midfielder",1.10927529994376,"-60014","N. Holm Pedersen","Silkeborg U17","Silkeborg U17","AMF"
"Left-Sided Attacker",1.4326950543777,"-44916","O. Sparre Klitten","AaB U19","AaB U19","LWF"
"Left-Sided Attacker",1.38603475688309,"38963","A. Erokhin","Zenit","Zenit","LAMF"
"Left-Sided Attacker",1.29032744347826,"421644","J. Okkels","Silkeborg","Silkeborg","LAMF"
"Left-Sided Attacker",1.2662660113072,"363147","G. Masouras","Olympiakos Piraeus","Olympiakos Piraeus","LW"
"Left-Sided Attacker",1.25880971438298,"254988","Rafa Silva","Benfica","Benfica","LW"
"Left-Sided Midfielder/Fullback",0.777071176218306,"-45405","T. Damgaard","Vejle U19","Vejle U19","LWB"
"Left-Sided Midfielder/Fullback",0.718037585374771,"100348","J. Christjansen","Lyngby","Lyngby","LCMF3"
"Left-Sided Midfielder/Fullback",0.683943794086956,"316765","X. Schlager","Salzburg","Salzburg","LCMF3"
"Left-Sided Midfielder/Fullback",0.612913736968542,"491169","D. Mironov","Leningradets","Leningradets","LWB"
"Left-Sided Midfielder/Fullback",0.611830865669291,"261975","R. van der Venne","Go Ahead Eagles","Go Ahead Eagles","LCMF3"
"Right-Sided Attacker",1.37849342668934,"420180","O. Tkachuk","Oleksandria U21","Oleksandria U21","RW"
"Right-Sided Attacker",1.31800062010686,"420558","E. Smyrnyi","Dynamo Kyiv U21","Dynamo Kyiv U21","RAMF"
"Right-Sided Attacker",1.29333099831129,"401390","Marcos Junior","UD Oliveirense","UD Oliveirense","RW"
"Right-Sided Attacker",1.27977793440901,"59407","R. van Wolfswinkel","Basel","Basel","RAMF"
"Right-Sided Attacker",1.25246724760077,"463703","Z. Aboukhlal","PSV II","PSV II","RAMF"
"Right-Sided Midfielder/Fullback",1.32493862701568,"381095","D. de Wit","Ajax","Ajax","RCMF3"
"Right-Sided Midfielder/Fullback",1.14598860501229,"212638","V. Grubeck","FC Juniors OÖ","FC Juniors OÖ","RCMF3"
"Right-Sided Midfielder/Fullback",0.822619649943074,"35673","A. Grünwald","Austria Wien","Austria Wien","RCMF3"
"Right-Sided Midfielder/Fullback",0.71983968327645,"463016","J. Ekkelenkamp","Ajax II","Ajax II","RCMF3"
"Right-Sided Midfielder/Fullback",0.693953825277402,"261680","K. Vermeulen","RKC Waalwijk","RKC Waalwijk","RCMF3"
